,Ecology,Infrastructure
Columbia,2.124045167319796,-0.08151528993474966
Columbus,1.8817803637166226,-0.48425619305159995
Commune de Paliseul,1.004757862512062,0.6332035046217135
Comunità pioniera di Arborea,0.38074187215661104,0.08964577123795049
Copenhagen,-0.2845372941827667,0.5541664165625311
Corsano,-0.7867394707045278,-0.8091819866496145
Cupertino,-0.02122152955140348,-1.1440849763937968
Dallas,1.8776041757297453,-0.039172818779877695
Davis,1.2660114690780364,0.44900097246322385
Delft,-1.1664724023631208,-2.4764785787400996
Denver,-0.5006203413547331,-0.3489992691820801
Dilbeek,-0.138932202602919,-0.09094545945166557
Dossena,-0.5622775412557149,0.5755775051974084
Dublin,1.22714245976077,0.6568546201312172
Dundee,0.8278658543988041,0.12370113808811689
Durban,1.6195458851889395,-0.8306622409248364
Durbuy,1.0476856048084116,0.5302773715481822
Dénia,-1.0099289832878207,1.4170840525579542
Eau Claire,1.2444650193514901,1.2748249626552115
Edina,-0.8418393847235783,0.05278844607740409
Edmonton,-0.40590106341676785,-1.0885241509021302
Eilat ISRAEL,-0.5879434886074588,-0.4326024997010693
Elsinore,0.4032975036647937,0.2725386399409493
Emeryville,1.5695996131579624,-0.022551387884500777
Erie County,0.37246168404048785,-0.4854808577500315
Espoo,-0.5621088449463982,-0.6352513897702649
Essen,-0.3411688274846234,0.6566267659361745
Eugene,1.6754153178876807,0.7424324323733831
Evanston,2.4338474956356704,-0.49375500356829655
Fermo,-0.43008797027554,0.4071046506089663
Flagstaff,1.247179226229049,-0.5544370006267402
Fontanafredda,-1.642798557092425,1.932141356924742
Fort Collins,1.189735077703708,0.41766627242538723
Frankenthal,-0.6507197373899839,1.3448172331470476
Frederikshavn,-0.1584031383493728,0.556497498842562
Gagliano del Capo,-0.6890109811609941,-0.8785734695294625
Gela,-0.16216543533028815,0.12026821037184796
Genk,0.029125471390949908,-0.939397262659422
Giave,-0.6164557891995229,-0.56077785322105
Glasgow,0.5501981783901728,-0.9466574296973729
Gorga,-1.269559154951582,1.3845936584643443
Gothenburg,-0.37798946369476094,1.2534942098990305
Granze (Pd) - Italy,0.26296006280741946,-0.5706757391627906
Groningen,-0.966742295479562,-0.8304475223592723
Guelph,0.23429222565407953,0.44023047530881704
Haarlem,-0.6955220002538262,0.9060024067205085
Halifax,0.6710199043293691,-0.8272649883371401
Halle,0.25159522992405103,-0.027850168952501916
Hanau,0.005688078990730991,1.3157104648522293
Hannover,-0.7235097625375901,0.45277475866606876
Hayward,1.330708485568044,0.31542572426991805
Hebron,0.3512160781450714,-0.1421173113594001
Heidelberg,-0.8584186548080307,0.12268649128916607
Herbeumont,1.0191110132666699,0.6098680134070231
Hlybokaje,-1.135200718633031,-2.4933529315378857
Hong Kong,1.3656118705607583,0.46215747396153395
Houston,1.7524924029772944,0.5574802921537408
Indianapolis,1.3726852602715993,-0.7766899472585381
