name,entity_type,country,iso,population,area,state,admin_1,initiatives_committed,lat,lng,region,baseline_emissions,baseline_year,net_zero_target_status,percent_reduction,target_year
"New York City, NY",City,United States of America,USA,8537673,783.8423,New York State,NA,ClimateMayors;WeAreStillIn2019;WeAreStillIn2019;GlobalCovenantofMayors2019;CDPCities2018;C40Cities2019;Carbonn2019;Under2Coalition2019;NAZCA,40.7127,-74.0059,North America,61062452,2005,"1,2,4",80,2050
"Kansas City, MO",City,United States of America,USA,470800,826.2845097,Missouri,"Jackson County, MO",ClimateMayors;WeAreStillIn2019;WeAreStillIn2019;NAZCA,39.099722,-94.578333,North America,NA,2000,"1,4",80,2050
"St. Louis, MO",City,United States of America,USA,319294,2392.115,Missouri,NA,CDPCities2018;GlobalCovenantofMayors2019;WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;NAZCA,38.627,-90.1994,North America,8081418,2005,"1,2,4",80,2050
Elsinore,City,Denmark,DNK,47364,121.61,Capital Region,NA,CDPCities2018;EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,56.0308,12.5921,Europe,415000,2008,"1,4",85,2030
Berlin,City,Germany,DEU,3440000,NA,Federal State of Berlin,NA,C40Cities2019;EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,52.51666667,13.38888889,Europe,29300000,1990,"1, 2, 4","80, -7777",2050
Louisiana,Region,United States of America,USA,4648794,135382,NA,NA,NA,31,-92,North America,215000000,2005,1,90,2050
Wyndham,City,Australia,AUS,241902,542,Victoria,Western Australia,Carbonn2019;GlobalCovenantofMayors2019;NAZCA,-15.4825,128.1228,East Asia and the Pacific,25956,2014,"1,4",95,2040
"Fort Collins, CO",City,United States of America,USA,167492,144.5732418,Colorado,"Larimer County, CO",ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;CDPCities2018;WeAreStillIn2019;Carbonn2019;NAZCA,40.559167,-105.078056,North America,2472391,2005,NA,80,2030
"Calgary, AB",City,Canada,CAN,1246231,586.08,Alberta,Rocky View and Foothills,CDPCities2018;Carbonn2019;NAZCA,51.0486,-114.071,North America,15793731,2005,"1,2,4",80,2050
Trondheim,City,Norway,NOR,185000,321.81,TrÃ¸ndelag,Trondheim Region,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,63.42972,10.39333,Europe,370516.1,1991,"1,4",80,Long term
"Aspen, CO",City,United States of America,USA,8427,10.0491612,Colorado,"Pitkin County, CO",WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;Carbonn2019;GlobalCovenantofMayors2019;NAZCA,39.195,-106.8369444,North America,NA,2004,"1,4",80,2050
"Pittsburgh, PA",City,United States of America,USA,305704,151.1,Pennsylvania,"Allegheny County, PA",CDPCities2018;Under2Coalition2019;GlobalCovenantofMayors2019;WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;NAZCA,40.4406,-79.9959,North America,5987870,2003,NA,80,2050
Espoo,City,Finland,FIN,279044,528.14,Uusimaa,Greater Helsinki,Carbonn2019;EUCovenantofMayors2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,60.20555556,24.65555556,Europe,1055027,1990,"1,4",80,2030
"Cleveland, OH",City,United States of America,USA,389521,213.6,Ohio,"Cuyahoga County, OH",Carbonn2019;ClimateMayors;WeAreStillIn2019;WeAreStillIn2019;CDPCities2018;GlobalCovenantofMayors2019;NAZCA,41.48222222,-81.66972222,North America,12910872,2010,NA,80,2050
"Boulder County, CO",City,United States of America,USA,322226,1917,Colorado,NA,CDPCities2018;NAZCA,40.15,-105.5,North America,5021236,2005,"1,4",90,2050
"Sacramento, CA",City,United States of America,USA,495234,259.2839,California,"Sacramento County, CA",Under2Coalition2019;CDPCities2018;WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;NAZCA,38.55555556,-121.4688889,North America,NA,2005,"1,4",83,2050
