name,iso,net_zero_target_status,entity_type,country,coordinator_name,support_type
Wezembeek-Oppem,BEL,"1,4",City,Belgium,Provincie Vlaams-Brabant,Coordinator
Villa Literno,ITA,"1,4",City,Italy,Province of Caserta,Coordinator
Mantova,ITA,"2,4",City,Italy,NA,NA
Region Zuid-West-Vlaanderen,BEL,"1,2,4",City,Belgium,Intercommunale Leiedal,Coordinator
Lessebo,SWE,"1,4",City,Sweden,NA,NA
Ærø,DNK,"1,2,4",City,Denmark,NA,NA
Brugge,BEL,"1,4",City,Belgium,Province of West-Flanders,Coordinator
Socchieve,ITA,"2,4",City,Italy,Region of Friuli Venezia Giulia,Coordinator
Socchieve,ITA,1,City,Italy,Region of Friuli Venezia Giulia,Coordinator
Balones,ESP,"1,4",City,Spain,Province of Alicante,Coordinator
Lennik,BEL,"1,2,4",City,Belgium,Provincie Vlaams-Brabant,Coordinator
Bagnoli di Sopra,ITA,4,City,Italy,Province of Padova,Coordinator
Bracca,ITA,"1,4",City,Italy,Comunità Valle Brembana,Coordinator
Bracca,ITA,"1,4",City,Italy,Province of Bergamo,Coordinator
Pantelleria,ITA,4,City,Italy,Region of Sicily - Department of Energy,Coordinator
Pantelleria,ITA,1,City,Italy,Region of Sicily - Department of Energy,Coordinator
"Oxford, UK",GBR,4,City,United Kingdom,NA,NA
Urbino,ITA,"2,4",City,Italy,NA,NA
Somma Lombardo,ITA,4,City,Italy,NA,NA
Heidelberg,DEU,"1,2,4",City,Germany,"Climate Alliance, DE",Supporter
Heidelberg,DEU,"1,2,4",City,Germany,Metropolregion Rhein-Neckar,Coordinator
Sønderborg,DNK,"2,4",City,Denmark,NA,NA
Taleggio,ITA,"1,4",City,Italy,Comunità Valle Brembana,Coordinator
Taleggio,ITA,"1,4",City,Italy,Province of Bergamo,Coordinator
Herbeumont,BEL,4,City,Belgium,Province de Luxembourg,Coordinator
Herbeumont,BEL,4,City,Belgium,Région wallonne,Coordinator
Fermo,ITA,"2,4",City,Italy,Regione Marche - SVIM,Coordinator
Acquappesa,ITA,"1,4",City,Italy,Energia Calabria Network,Coordinator
Pontecchio Polesine,ITA,"1,2,4",City,Italy,Province of Rovigo,Coordinator
